id,Date,Reporter,Title,Pool Report,Off the Record,Other type?,Phone Present,Auto- Redact,Manual Redact,Email Present,Auto- Redact,Manual Redact,Address Present,Auto- Redact,Manual Redact,Review Complete,Publish,Comments
84,"Thu, 1 Apr 2021 19:02:05 +0000",Natasha Korecki,In-Town Pool Report #10 Few deets on Cabinet meeting,TRUE,FALSE,,1,1,,,,,,,,1,1,
85,"Thu, 1 Apr 2021 17:50:39 +0000",Natasha Korecki,Pool report #9 Will tweet pics of Cabinet room,TRUE,FALSE,,1,1,,,,,,,,1,1,
86,"Thu, 1 Apr 2021 17:41:58 +0000",Natasha Korecki,Pool report #8 -- Press ushered out of Cabinet meeting/Biden takes no Qs,TRUE,FALSE,,1,1,,,,,,,,1,1,
87,"Thu, 1 Apr 2021 17:34:58 +0000",Natasha Korecki,Pool report #7 5 cabinet members to sell jobs plan,TRUE,FALSE,,1,1,,,,,,,,1,1,
88,"Thu, 1 Apr 2021 17:21:30 +0000",Natasha Korecki,In-town pool report #6 holding,TRUE,FALSE,,1,1,,,,,,,,1,1,
89,"Thu, 1 Apr 2021 16:55:08 +0000",Natasha Korecki,In-Town Pool Report #5 Biden remarks to faith leaders,TRUE,FALSE,,1,1,,,,,,,,1,1,
90,"Thu, 1 Apr 2021 16:37:20 +0000",Natasha Korecki,In-Town Pool Report #4 Biden joins faith leader call,TRUE,FALSE,,1,1,,,,,,,,1,1,
91,"Thu, 1 Apr 2021 16:23:53 +0000",Natasha Korecki,In-Town Pool Report #3 Cabinet meeting attendees,TRUE,FALSE,,1,1,,,,,,,,1,1,
92,"Thu, 1 Apr 2021 15:48:36 +0000",Natasha Korecki,In-Town Pool Report #2 NEW sched add: Biden to join NOON call with faith leaders,TRUE,FALSE,,1,1,,,,,,,,1,1,
93,"Thu, 1 Apr 2021 10:48:49 -0400",Jessica Floyd,VP Pool Report #6 Correction to remark on Anti-Asian Hate,TRUE,FALSE,,,,,,,,,,,1,1,
94,"Thu, 1 Apr 2021 10:37:38 -0400",Jessica Floyd,VP Pool Report #5 - speakers and remarks from VP,TRUE,FALSE,,,,,,,,,,,1,1,
95,"Thu, 1 Apr 2021 10:35:30 -0400",Jessica Floyd,VP Pool Report #4 - Surgeon General Remarks from the event,TRUE,FALSE,,,,,,,,,,,1,1,
96,"Thu, 1 Apr 2021 14:02:22 +0000",Natasha Korecki,In-Town Pool Report #1 [briefing changed to 1:30],TRUE,FALSE,,1,1,,1,1,,,,,1,1,
97,"Thu, 1 Apr 2021 09:36:50 -0400",Jessica Floyd,VP Pool Report #3 - event begins + comments from Surgeon General and VP,TRUE,FALSE,,,,,,,,,,,1,1,
98,"Thu, 1 Apr 2021 08:40:05 -0400",Jessica Floyd,VP Pool Report #2 - background on meeting + VP’s portfolio,TRUE,FALSE,,,,,,,,,,,1,1,
99,"Thu, 1 Apr 2021 08:21:00 -0400",Jessica Floyd,VP Pool report #1,TRUE,FALSE,,1,,1,1,1,,,,,1,1,
100,"Thu, 15 Apr 2021 16:51:47 -0400",Todd Gillman,pool report #6a/ Russia speech now expected to start at 5,TRUE,FALSE,,1,1,,1,1,,,,,1,1,
101,"Thu, 15 Apr 2021 16:29:09 -0400",Todd Gillman,pool report #6/East Room awaiting POTUS remarks on Russia,TRUE,FALSE,,1,1,,1,1,,,,,1,1,
102,"Thu, 15 Apr 2021 13:50:17 +0000",Zeke Miller,Expanding White House Access -- Week of April 19,FALSE,FALSE,,,,,,,,,,,1,0,
103,"Thu, 15 Apr 2021 15:55:27 -0400",Todd Gillman,VP pool report #2/VP announcement on childcare,TRUE,FALSE,,1,1,,1,1,,,,,1,1,
104,"Thu, 15 Apr 2021 15:39:54 -0400",Todd Gillman,VP pool report #1/South Court Auditorium,TRUE,FALSE,,1,1,,1,1,,,,,1,1,
105,"Thu, 15 Apr 2021 15:00:28 -0400",Todd Gillman,pool report #5a/a bit more Oval spray,TRUE,FALSE,,1,1,,1,1,,,,,1,1,
107,"Thu, 15 Apr 2021 14:15:22 -0400",Todd Gillman,Pool report #4/Oval participants,TRUE,FALSE,,1,1,,1,1,,,,,1,1,
108,"Thu, 15 Apr 2021 13:44:04 -0400",Todd Gillman,"pool report #3/briefing ended, pool gathering",TRUE,FALSE,,1,1,,1,1,,,,,1,1,
109,"Thu, 15 Apr 2021 12:50:24 -0400",Todd Gillman,pool report #2/2 minute warning for briefing,TRUE,FALSE,,1,1,,1,1,,,,,1,1,
110,"Thu, 15 Apr 2021 12:21:40 -0400",Todd Gillman,pool report #1/slight delay on briefing,TRUE,FALSE,,1,1,,1,1,,,,,1,1,
111,"Wed, 14 Apr 2021 20:13:03 +0000",Courtney Rozen,Pool report 4/14 #13,TRUE,FALSE,,1,1,,1,1,,,,,1,1,
112,"Wed, 14 Apr 2021 19:41:32 +0000",Courtney Rozen,Pool report 4/14 #12,TRUE,FALSE,,1,1,,1,1,,,,,1,1,
113,"Wed, 14 Apr 2021 19:24:42 +0000",Courtney Rozen,Re: Pool report 4/14 #11 - correction,TRUE,FALSE,,1,1,,1,1,,,,,1,1,
114,"Wed, 14 Apr 2021 19:23:49 +0000",Courtney Rozen,Pool report 4/11 #11,TRUE,FALSE,,1,1,,1,1,,,,,1,1,
115,"Wed, 14 Apr 2021 18:57:12 +0000",Courtney Rozen,Pool report 4/14 #10a,TRUE,FALSE,,1,1,,1,1,,,,,1,1,
116,"Wed, 14 Apr 2021 18:54:26 +0000",Courtney Rozen,Pool report 4/14 #10,TRUE,FALSE,,1,1,,1,1,,,,,1,1,
117,"Wed, 14 Apr 2021 18:33:31 +0000",Courtney Rozen,Pool report 4/14 #9,TRUE,FALSE,,1,1,,1,1,,,,,1,1,
118,"Wed, 14 Apr 2021 18:05:49 +0000",Courtney Rozen,Pool report 4/14 #8,TRUE,FALSE,,1,1,,1,1,,,,,1,1,
119,"Wed, 14 Apr 2021 16:39:18 +0000",Courtney Rozen,Pool report 4/14 #7a,TRUE,FALSE,,1,1,,1,1,,,,,1,1,
120,"Wed, 14 Apr 2021 16:36:18 +0000",Courtney Rozen,Pool report 4/14 #7,TRUE,FALSE,,1,1,,1,1,,,,,1,1,
121,"Wed, 14 Apr 2021 11:36:46 -0400",Christian Datoc,VP pool report #4 — full quotes from Q&A,TRUE,FALSE,,,,,1,1,,1,,1,1,1,
122,"Wed, 14 Apr 2021 10:24:49 -0400",Christian Datoc,VP pool report #3 — meeting begins... NEWS: VP to visit Mexico and Guatemala,TRUE,FALSE,,,,,1,1,,1,,1,1,1,
123,"Wed, 14 Apr 2021 10:28:31 -0400",Christian Datoc,VP pool report #3 — meeting begins/opening remarks/pool escorted out,TRUE,FALSE,,,,, , ,, ,, ,1,1,
124,"Wed, 14 Apr 2021 09:58:15 -0400",Christian Datoc,VP pool report #2 — background/attendees,TRUE,FALSE,,,,,1,1,,1,,1,1,1,
125,"Wed, 14 Apr 2021 09:43:17 -0400",Christian Datoc,VP pool report #1 — gathering,TRUE,FALSE,,,,,1,1,,1,,1,1,1,
126,"Wed, 14 Apr 2021 13:39:38 +0000",Courtney Rozen,Pool report 4/14 #5,TRUE,FALSE,,1,1,,1,1,,,,,1,1,
127,"Wed, 14 Apr 2021 13:07:33 +0000",Courtney Rozen,Pool report 4/14 #5,TRUE,FALSE,,1,1,,1,1,,,,,1,1,
128,"Wed, 14 Apr 2021 13:03:50 +0000",Courtney Rozen,Pool report 4/14 #4a,TRUE,FALSE,,1,1,,1,1,,,,,1,1,
129,"Wed, 14 Apr 2021 13:01:29 +0000",Courtney Rozen,Pool report 4/14 #4,TRUE,FALSE,,1,1,,1,1,,,,,1,1,
130,"Wed, 14 Apr 2021 11:12:29 +0000",Courtney Rozen,Pool report 4/14 #3,TRUE,FALSE,,1,1,,1,1,,,,,1,1,
131,"Wed, 14 Apr 2021 10:47:16 +0000",Courtney Rozen,Pool report 4/14 #2,TRUE,FALSE,,1,1,,1,1,,,,,1,1,
132,"Wed, 14 Apr 2021 10:02:52 +0000",Courtney Rozen,Pool report 4/14 #1,TRUE,FALSE,,1,1,,1,1,,,,,1,1,
133,"Tue, 13 Apr 2021 22:11:15 -0400",Hans Nichols,WH pool report 13: POTUS accepts Pelosi invitation,TRUE,FALSE,,1,1,,1,1,,,,,1,1,
134,"Tue, 13 Apr 2021 21:21:30 -0400",Hans Nichols,WH pool report 12: update on schedule,TRUE,FALSE,,1,1,,1,1,,,,,1,1,
135,"Tue, 13 Apr 2021 16:30:00 -0400",Hans Nichols,WH pool report 10: clarification from press office,TRUE,FALSE,,1,1,,1,1,,,,,1,1,
136,"Tue, 13 Apr 2021 16:13:27 -0400",Hans Nichols,"WH pool report 9: CBC meeting has ended, per overhead announcement",TRUE,FALSE,, , ,, , ,,,,,1,1,
137,"Tue, 13 Apr 2021 15:45:20 -0400",Hans Nichols,WH Pool report 8: Fuller notes/quotes from Biden's meeting with CBC leaders. A travel photo lid has been called.,TRUE,FALSE,, , ,, , ,,,,,1,1,
138,"Tue, 13 Apr 2021 14:45:28 -0400",Hans Nichols,WH Pool report 7: NEWS. Biden made comments on the vaccine at the end of the pool spray in the Oval,TRUE,FALSE,,1,1,,1,1,,,,,1,1,
139,"Tue, 13 Apr 2021 13:44:04 -0400",Jessica Floyd,VP Pool - Handing off pool duty,TRUE,FALSE,,,,,,,,,,,1,1,
140,"Tue, 13 Apr 2021 13:42:01 -0400",Jessica Floyd,Fwd: VP Pool Report #5 - VP Comments on Daunte Wright,TRUE,FALSE,,,,,1,1,,,,,1,1,
141,"Tue, 13 Apr 2021 13:28:43 -0400",Jessica Floyd,VP Pool Report #6 - Event ends + background information,TRUE,FALSE,,,,,,,,,,,1,1,
142,"Tue, 13 Apr 2021 12:47:25 -0400",Hans Nichols,WH Pool report 6 Biden met with the family of Officer Evans,TRUE,FALSE,,1,1,,1,1,,,,,1,1,
143,"Tue, 13 Apr 2021 12:46:48 -0400",Jessica Floyd,VP Pool Report #5 - VP Comments on Daunte Wright,TRUE,FALSE,,,,,,,,,,,1,1,
144,"Tue, 13 Apr 2021 12:41:01 -0400",Jessica Floyd,VP Pool Report #4 - color on the roundtable,TRUE,FALSE,,,,,,,,,,,1,1,
145,"Tue, 13 Apr 2021 12:36:56 -0400",Hans Nichols,WH pool report 5: POTUS motorcade rolling back to WH at 12:29,TRUE,FALSE,,1,1,,1,1,,,,,1,1,
146,"Tue, 13 Apr 2021 12:34:36 -0400",Jessica Floyd,VP Pool Report #3 - event begins,TRUE,FALSE,,,,,,,,,,,1,1,
147,"Tue, 13 Apr 2021 12:23:49 -0400",Jessica Floyd,VP Pool Report #2 - Attendees and Background info,TRUE,FALSE,,,,,,,,,,,1,1,
148,"Tue, 13 Apr 2021 11:47:20 -0400",Jessica Floyd,VP Pool #1 - Good Morning/Pooler tested,TRUE,FALSE,,,,,,,,,,,1,1,
149,"Tue, 13 Apr 2021 11:39:58 -0400",Hans Nichols,WH Pool report 4: Capitol greeters,TRUE,FALSE,,1,1,,1,1,,,,,1,1,
150,"Tue, 13 Apr 2021 11:11:41 -0400",Hans Nichols,WH Pool Report 3: POTUS arrived at the Capitol complex.,TRUE,FALSE,,1,1,,1,1,,,,,1,1,
151,"Tue, 13 Apr 2021 10:52:37 -0400",Hans Nichols,WH Pool report 2: motorcade rolling to the Capitol,TRUE,FALSE,,1,1,,1,1,,,,,1,1,
152,"Tue, 13 Apr 2021 09:53:01 -0400",Hans Nichols,WH Pool report 1: Participants in the CBC meeting.,TRUE,FALSE,,1,1,,1,1,,,,,1,1,
153,"Mon, 12 Apr 2021 16:03:35 -0400",Brittany Shepherd,Lid !!!,TRUE,FALSE,,1,1,,,,,,,,1,1,
154,"Mon, 12 Apr 2021 14:47:35 -0400",Brittany Shepherd,Pool report 6 - oval spray remarks,TRUE,FALSE,,,,,,,,,,,1,1,
155,"Mon, 12 Apr 2021 13:54:12 -0400",Brittany Shepherd,In town pool report 5 - Summit remarks & spray,TRUE,FALSE,,,,,,,,,,,1,1,
156,"Mon, 12 Apr 2021 13:00:13 -0400",Brittany Shepherd,In town pool report 4 - summit gather,TRUE,FALSE,,1,1,,1,1,,,,,1,1,
157,"Mon, 12 Apr 2021 12:21:11 -0400",Brittany Shepherd,2 minute warning for Psaki,TRUE,FALSE,,1,1,,1,1,,,,,1,1,
158,"Mon, 12 Apr 2021 11:53:47 -0400",Brittany Shepherd,In town pool #3 - sked update,TRUE,FALSE,,1,1,,1,1,,,,,1,1,
159,"Mon, 12 Apr 2021 10:22:44 -0400",Brittany Shepherd,In town pool #2 - Summit attendees,TRUE,FALSE,,1,1,,1,1,,,,,1,1,
160,"Mon, 12 Apr 2021 10:10:28 -0400",Brittany Shepherd,In-town pool report 1 - Checking in,TRUE,FALSE,,1,1,,1,1,,,,,1,1,
161,"Sun, 11 Apr 2021 20:53:27 -0400",Thomas Howell,In-town pool #3 - Monday meeting attendees (American Jobs Plan),TRUE,FALSE,,,,,,,,,,,1,1,
162,"Sun, 11 Apr 2021 23:46:00 +0000",Tamara Keith,"FPPO/OTR White House week ahead, week of 4/12",FALSE,TRUE,,,,,,,,,,,1,0,
163,"Sun, 11 Apr 2021 16:45:00 -0400",Thomas Howell,In-town pool #2 - Note about POTUS’s day,TRUE,FALSE,,1,1,,,,,,,,1,1,
164,"Sun, 11 Apr 2021 10:06:47 -0400",Thomas Howell,In-town pool #1 — Lid,TRUE,FALSE,,1,1,,,,,,,,1,1,
165,"Sat, 10 Apr 2021 22:36:29 +0000",Anne Gearan,In-town pool report 7 / back at White House,TRUE,FALSE,,,,,,,,,,,1,1,
166,"Sat, 10 Apr 2021 22:25:30 +0000",Anne Gearan,In-town pool report 6 / leaving church,TRUE,FALSE,,1,1,,,,,,,,1,1,
