Identifier,Title,Date,Creator,Object Type,Format,Rights Statement,FILES
202104_209,"Pool Report No. 4 - cleaner, newsy Chauvin quote",2021-04-20T16:01:27Z,Nikki Schwab,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,209/body-209.html;209/attachments/image001.png
202104_210,Pool Report No. 3 - CHC meeting - Floyd comments,2021-04-20T15:52:09Z,Nikki Schwab,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,210/body-210.html
202104_211,Pool Report 2 - holding for CHC meeting,2021-04-20T15:27:55Z,Nikki Schwab,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,211/body-211.html
202104_212,Pool Report No. 1,2021-04-20T14:14:21Z,Nikki Schwab,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,212/body-212.html;212/attachments/image001.png
202104_213,In-town pool report #9 — 4/20 virtual tour of Proterra plant,2021-04-19T21:24:31-04:00,Christian Datoc,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,213/body-213.html
202104_214,In-town pool report #8 — 4/20 meeting with Hispanic Caucus,2021-04-19T21:06:02-04:00,Christian Datoc,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,214/body-214.html
202104_215,VP Travel Pool #16- that’s a wrap!,2021-04-19T22:21:06Z,Eugene Daniels,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,215/body-215.html
202104_216,VP Travel pool #15 — wheels up,2021-04-19T21:18:31Z,Eugene Daniels,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,216/body-216.html
202104_217,CORRECTION for VP travel pool #14,2021-04-19T20:50:59Z,Eugene Daniels,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,217/body-217.html
202104_218,VP Travel pool #14 - Suprise stop - Woolworth’s,2021-04-19T20:40:20Z,Eugene Daniels,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,218/body-218.html
202104_219,VP travel pool #13 - full quotes from Harris,2021-04-19T20:01:10Z,Eugene Daniels,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,219/body-219.html
202104_220,VP travel report #12 - Color and quotes from your,2021-04-19T19:23:05Z,Eugene Daniels,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,220/body-220.html
202104_221,In-town pool report #7 — travel/photo lid,2021-04-19T15:09:43-04:00,Christian Datoc,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,221/body-221.html
202104_222,In-town pool report #6 — infrastructure meeting is over,2021-04-19T14:59:31-04:00,Christian Datoc,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,222/body-222.html
202104_223,VP travel pool 11 - tour has begun,2021-04-19T18:45:27Z,Eugene Daniels,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,223/body-223.html
202104_224,VP travel pool #10 — Arrival at plant,2021-04-19T17:57:18Z,Eugene Daniels,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,224/body-224.html
202104_225,In-town pool report #5a — Sec. Buttigieg,2021-04-19T13:51:39-04:00,Christian Datoc,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,225/body-225.html
202104_226,In-town pool report #5 — in the Oval,2021-04-19T13:40:26-04:00,Christian Datoc,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,226/body-226.html
202104_227,"VP Travel #9 - Back in motorcade, headed to second event",2021-04-19T17:32:36Z,Eugene Daniels,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,227/body-227.html
202104_228,In-town pool report #4 — gathering for Oval infrastructure meeting,2021-04-19T13:03:11-04:00,Christian Datoc,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,228/body-228.html
202104_229,In-town pool report #3 — briefing over,2021-04-19T13:01:36-04:00,Christian Datoc,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,229/body-229.html
202104_230,In-town pool report #2 — 2 minute warning for Press Sec briefing,2021-04-19T12:18:02-04:00,Christian Datoc,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,230/body-230.html
202104_231,VP Travel pool #8 - holding after speech,2021-04-19T16:12:34Z,Eugene Daniels,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,231/body-231.html
202104_232,VP Travel pool #7 - color from event,2021-04-19T15:59:02Z,Eugene Daniels,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,232/body-232.html
202104_233,"VP travel Pool #6 - arrived, event started",2021-04-19T15:27:28Z,Eugene Daniels,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,233/body-233.html;233/attachments/Image.jpeg
202104_234,VP travel Pool #5 - loaded and rolling to speech,2021-04-19T14:50:09Z,Eugene Daniels,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,234/body-234.html
202104_235,VP Travel pool #4 - Landed in NC,2021-04-19T14:36:03Z,Eugene Daniels,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,235/body-235.html
202104_236,In-town pool report #1 — checking in,2021-04-19T10:00:41-04:00,Christian Datoc,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,236/body-236.html
202104_237,VP Travel Report #3 - wheels up and FIX,2021-04-19T13:40:01Z,Eugene Daniels,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,237/body-237.html
202104_238,VP Travel Pool #2 - Helicopter landed/ staff list,2021-04-19T13:24:51Z,Eugene Daniels,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,238/body-238.html
202104_239,VP Travel Pool #1 - Pool at JBA,2021-04-19T12:44:23Z,Eugene Daniels,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,239/body-239.html
202104_240,White House In-Town Pool Report #7 — Lid,2021-04-19T01:24:16Z,Scott Bixby,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,240/body-240.html
202104_241,White House In-Town Pool Report #6 — Marine One touchdown,2021-04-19T01:12:21Z,Scott Bixby,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,241/body-241.html
202104_242,White House In-Town Pool Report #5 — Gathered for Marine One landing,2021-04-19T00:56:55Z,Scott Bixby,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,242/body-242.html
202104_243,White House In-Town Pool Report #4 — Pool gathering for Marine One,2021-04-19T00:44:43Z,Scott Bixby,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,243/body-243.html
202104_245,White House In-Town Pool Report #3 — Notes for 4/19 and gathering for Marine One,2021-04-19T00:32:53Z,Scott Bixby,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,245/body-245.html
202104_246,Travel pool report 12 - Marine One + handover,2021-04-19T00:11:40Z,Sebastian Smith,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,246/body-246.html
202104_247,Travel pool report 10 - gathering,2021-04-18T23:08:10Z,Sebastian Smith,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,247/body-247.html
202104_248,Travel pool report 9a - dinner lid,2021-04-18T21:42:26Z,Sebastian Smith,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,248/body-248.html
202104_249,Travel pool report 9 - Lid,2021-04-18T20:13:12Z,Sebastian Smith,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,249/body-249.html
202104_250,Travel pool report 8 - residence,2021-04-18T19:58:14Z,Sebastian Smith,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,250/body-250.html
202104_251,Travel pool report 7 - Greenville,2021-04-18T18:49:02Z,Sebastian Smith,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,251/body-251.html
202104_252,Travel pool report 6 - rolling,2021-04-18T18:40:38Z,Sebastian Smith,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,252/body-252.html
